r, matched_holder, linear, quadratic_b_spline, cubic_b_spline, quintic_b_spline, cubic_hermite, pchip, makima, fo_taylor, quintic_hermite, second_order_taylor, third_order_taylor, septic_hermite
2, 0.083708486519497444, 0.045726192045372316, 0.024828473821310204, 0.023277651982070491, 0.020662363191588429, 0.003992590683903730, 0.022484271673629985, 0.029204046982060805, 0.064324169544791032, 0.010163942298858419, 0.078667224474349151, 0.122313925671369894, 0.018448258714584442
3, 0.023540880602888836, 0.016022890862746997, 0.005755604628244537, 0.005230814883100732, 0.004517849453574918, 0.001041719154716125, 0.012099678303480466, 0.007022457175191787, 0.018232520158165733, 0.002578238856418169, 0.019258110974671228, 0.030927313674832008, 0.004660243256272567
4, 0.006920332324638179, 0.004326423048900463, 0.001479662333354892, 0.001403577051129257, 0.001258471400971933, 0.000264701848608107, 0.003008722563990818, 0.002047077677412190, 0.005234265191546350, 0.000660995684770599, 0.005028768302586917, 0.007952427400688272, 0.001198057778804051
5, 0.001895087553241026, 0.001309431207276557, 0.000373346431293220, 0.000339254208968076, 0.000291630399409548, 0.000067783984772363, 0.000465714198778056, 0.000491306619344600, 0.001411361781061715, 0.000168562863492538, 0.001270240801960837, 0.002024909962205168, 0.000305161839582041
6, 0.000533981002282913, 0.000354166580618043, 0.000095829666182407, 0.000087180086604244, 0.000077657354986327, 0.000017296644460069, 0.000225146050439218, 0.000110400496050482, 0.000398434617655985, 0.000043090688884140, 0.000326062853572562, 0.000517636212175904, 0.000078054135645517
7, 0.000145795131700988, 0.000093533844280291, 0.000024284947346132, 0.000022063612947515, 0.000018931853322746, 0.000004420256477317, 0.000073833146535696, 0.000033367374404625, 0.000107899686141388, 0.000011002941041921, 0.000082980422617646, 0.000131981586271396, 0.000019925452300146
8, 0.000038090360480914, 0.000027098482484000, 0.000006200017686864, 0.000005615604608405, 0.000004881748120855, 0.000001128855544874, 0.000012776668938508, 0.000007195304815050, 0.000028390842505999, 0.000002811028492034, 0.000021180168418539, 0.000033642364282049, 0.000005091168765597
9, 0.000010535756596708, 0.000007116232905058, 0.000001583337841810, 0.000001438253621810, 0.000001232782734617, 0.000000288372484863, 0.000004205044609296, 0.000001833111805738, 0.000007770989298717, 0.000000717978448195, 0.000005384335645592, 0.000008551269587542, 0.000001300293777429
10, 0.000002796174598418, 0.000001874301977234, 0.000000404168981283, 0.000000366604236635, 0.000000314203744606, 0.000000073657511174, 0.000001219409526299, 0.000000557576235238, 0.000002051330495190, 0.000000183404617077, 0.000001364400261439, 0.000002163580206493, 0.000000332163484801
11, 0.000000730606735666, 0.000000513537029900, 0.000000103286131314, 0.000000093809596757, 0.000000080339281755, 0.000000018815211944, 0.000000305077384799, 0.000000128986890391, 0.000000536493639347, 0.000000046842372675, 0.000000342696419575, 0.000000542088238797, 0.000000084843067155
12, 0.000000192466657611, 0.000000134537364915, 0.000000026374104373, 0.000000023926195553, 0.000000020380601484, 0.000000004806044146, 0.000000084942674838, 0.000000030890979885, 0.000000140828317508, 0.000000011965347657, 0.000000084639488890, 0.000000133179947820, 0.000000021672313472
